Code,Collector,Number,Date,Bag,T3,T4,GC
703,JK,381,7/4/2021,2,260.8,65.7,26.4
704,JK,382,7/6/2021,2,288.3,215.8,62.5
705,JK,383,7/6/2021,2,260.6,157,54.1
706,JK,384-STMA,7/10/2021,2,169,163.6,103.1
707,JK,384-SFGC,7/10/2021,2,111.8,57.5,32.1
708,JK,385,7/10/2021,2,68.4,59.9,39.8
709,JK,386,7/10/2021,2,681.7,246.7,371.8
710,JK,387,7/10/2021,2,165.3,157.1,131.3
711,JK,388,7/12/2021,2,247.7,213.9,287.7
712,JK,389,7/12/2021,2,130.6,136.3,387.4
713,TC,02,3/16/2021,36,437.5,318.2,462.9
714,TC,06,3/15/2021,36,94.3,92.1,70.2
715,TC,05,4/12/2021,36,193.6,120.7,192
716,TC,02,4/13/2021,36,616.4,440.7,187
717,TC,01,4/14/2021,36,252.7,103.7,424.8
718,TC,03,4/14/2021,36,765.6,761.2,622.7
719,TC,02,5/17/2021,36,134.4,110.6,181.8
720,TC,04,5/17/2021,36,150,71.4,301.1
721,TC,02,5/18/2021,36,448.3,151,61.3
722,TC,02,5/19/2021,36,85.6,56.4,37.9
723,TC,04,1/19/2021,36,83.8,44,55.1
724,TC,06,1/19/2021,36,363.4,199.7,424
725,TC,07,1/19/2021,36,81.1,54.1,32
726,TC,05,2/14/2021,36,60.8,58,191.7
727,TC,01,2/16/2021,36,94.3,109.4,101
728,TC,03,2/16/2021,36,77,54.6,16.2
729,TC,02,3/15/2021,36,30,53.1,40.3
730,TC,03,3/15/2021,36,42.1,99,39
731,TC,04,3/15/2021,36,73.5,51.1,538.3
732,TC,03,3/16/2021,36,823.3,412.5,365.4
733,JK,390,7/12/2021,3,1183.4,407.3,216.9
734,JK,391,7/12/2021,3,202.7,111.6,275.7
735,JK,393,7/13/2021,3,155.3,168.9,221.7
736,TC,07,8/6/2021,3,24.4,13.2,38
737,TC,08,8/6/2021,3,71.2,72,127
738,TC,09,8/6/2021,3,116.8,148.7,25.4
739,TC,11,8/6/2021,3,209.3,55.4,22.9
740,TC,13,8/6/2021,3,246.8,381.8,155.3
741,TC,14,8/6/2021,3,224.6,177.1,36.7
742,TC,04,8/6/2021,3,39.8,23,189.9
743,TC,05,8/6/2021,3,19.6,25.1,6.1
744,TC,06,8/6/2021,3,520.4,354.3,503.2
745,TC,10,8/6/2021,3,159.5,144.7,364.8
746,TC,02,8/9/2021,3,84.4,86.2,89.6
747,TC,03,8/9/2021,3,163.9,223.8,101.8
748,TC,05,8/9/2021,3,96,112.4,101.9
749,TC,06,8/9/2021,3,256.8,195.3,33.4
750,TC,08,8/9/2021,3,254.5,122.2,148.9
751,TC,01,8/10/2021,3,535.5,297.1,149
752,TC,02,8/10/2021,3,1027.4,413.4,277.9
753,JK,436,8/12/2021,6,171,69.2,134.6
754,JK,435,8/13/2021,6,118.9,104,97.7
755,JK,436,8/13/2021,6,189.3,100.9,262.9
756,JK,437,8/13/2021,6,102.4,122.7,121.7
757,JK,438,8/13/2021,6,120.9,116.7,450.6
758,JK,439,8/14/2021,6,NA,NA,6.8
759,JK,440,8/14/2021,6,250.7,326,97
760,JK,441,8/14/2021,6,354.1,285.5,102.4
761,JK,442,8/14/2021,6,197.6,178.5,459.5
762,JK,443,8/15/2021,6,733.6,214.1,50.3
763,JK,446,8/17/2021,6,45,70.4,49
764,JK,448,8/18/2021,6,79.2,84.6,39.9
765,JK,449,8/18/2021,6,31.5,48.1,194
766,JK,450,8/18/2021,6,166.6,130.5,13.8
767,JK,451,8/18/2021,6,10.5,27.6,7.2
768,JK,452,8/18/2021,6,11.7,22.4,30.5
769,JK,453,8/18/2021,6,20.1,17.4,6.7
770,JK,454,8/18/2021,6,13.7,27.5,8
771,JK,455,8/18/2021,6,170,144.5,26.9
772,JK,456,8/18/2021,6,14.1,18.9,7.7
