SampleID,Replicate,FieldID,Site,Area,Initials,Year,Month,Day,Condition,Lat,Long,Geno.Sp,Cytb_Sp
S20_3817,None,20200824-TC-14,BERN,Urban,TC,2020,8,24,not fresh,37.74277,-122.41049,coyote,coyote
S20_3818,None,20200824-TC-15,BERN,Urban,TC,2020,8,24,fresh,37.74362,-122.41441,coyote,coyote
S20_3819,None,20200824-TC-16,BERN,Urban,TC,2020,8,24,fresh,37.74253,-122.41152,NA,raccoon
S20_3820,None,20200824-TC-17,GLEN,Urban,TC,2020,8,24,fresh,37.74282,-122.44253,NA,coyote
S20_3821,None,20200824-TC-18,GLEN,Urban,TC,2020,8,24,fresh,37.7428,-122.44248,coyote,coyote
S20_3822,None,20200824-TC-19,GLEN,Urban,TC,2020,8,24,fresh,37.74271,-122.44248,coyote,coyote
S20_3823,None,20200824-TC-20,GLEN,Urban,TC,2020,8,24,fresh,37.74266,-122.44244,coyote,coyote
S20_3824,Yes original,20200824-TC-21,GLEN,Urban,TC,2020,8,24,fresh,37.74274,-122.44252,coyote,coyote
S20_3825,Yes original,20200824-TC-22,GLEN,Urban,TC,2020,8,24,not fresh,37.74282,-122.44256,coyote,coyote
S20_3826,None,20200907-TC-01,GGPW,Urban,TC,2020,9,7,fresh,37.76674,-122.49829,coyote,coyote
S20_3827,None,20200907-TC-02,GGPW,Urban,TC,2020,9,7,not fresh,37.76672,-122.49842,coyote,coyote
S20_3828,None,20200907-TC-03,PRES,Urban,TC,2020,9,7,fresh,37.79223,-122.45212,coyote,coyote
S20_3829,None,20200907-TC-04,PRES,Urban,TC,2020,9,7,fresh,37.79217,-122.4508,coyote,coyote
S20_3830,None,20200907-TC-05,PRES,Urban,TC,2020,9,7,<2 days,37.79228,-122.45197,coyote,coyote
S20_3831,None,20200907-TC-06,PRES,Urban,TC,2020,9,7,<2 days,37.79197,-122.45344,NA,coyote
S20_3832,Yes original,20200907-TC-07,BERN,Urban,TC,2020,9,7,not fresh,37.74258,-122.41142,coyote,coyote
S20_3833,None,20200907-TC-08,BERN,Urban,TC,2020,9,7,not fresh,37.74256,-122.41077,NA,coyote
S20_3834,None,20200907-TC-09,BERN,Urban,TC,2020,9,7,not fresh,37.74256,-122.41077,coyote,coyote
S20_3835,Yes original,20200907-TC-10,STMA,Urban,TC,2020,9,7,<2 days,37.73447,-122.42138,coyote,coyote
S20_3836,None,20200907-TC-11,STMA,Urban,TC,2020,9,7,fresh,37.73457,-122.42127,NA,fail
S20_3837,None,20200907-TC-12,STMA,Urban,TC,2020,9,7,fresh,37.73463,-122.4212,coyote,fail
S20_3838,Yes original,20200907-TC-13,STMA,Urban,TC,2020,9,7,fresh,37.73473,-122.42144,NA,coyote
S20_3839,None,20200907-TC-14,STMA,Urban,TC,2020,9,7,fresh,37.73471,-122.42081,NA,coyote
S20_3840,None,20200910-TC-01,COAST,Nonurban,TC,2020,9,10,fresh,37.82977,-122.52415,coyote,NA
S20_3841,None,20200910-TC-02,COAST,Nonurban,TC,2020,9,10,fresh,37.83067,-122.52696,coyote,NA
